transcript	description
MLOC_54951.1	Zinc_finger_SIAH-type_profile.
MLOC_72289.1	Polyketide_cyclase_/_dehydrase_and_lipid_transport
AK252395.1	MSP_(Major_sperm_protein)_domain
AK363712	Ribosomal_protein_L22p/L17e
AK375166	FCP1_homology_domain_profile.
AK374908	APO_domain_profile.
MLOC_79920.2	PRELI-like_family
AK356201	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
AK357003	S-adenosyl-L-homocysteine_hydrolase_signature_2.
AK364822	Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.
AK362864	Transforming_protein_P21_ras_signature
AK374578	E-class_P450_group_IV_signature
MLOC_54824.1	tRNA-binding_domain_profile.
AK364000	SAP_motif_profile.
AK354571	Glycosyltransferase_family_43
MLOC_54382.1	Actin_signature
AK358687	Clamp-loader_complex_subunit_E_C-terminus
AK370839	Serine/Threonine_protein_kinases_active-site_signature.
AK372506	Methyltransferase_domain
MLOC_21771.1	Glycosyl_transferase_family_2
MLOC_17988.1	TLC_domain
MLOC_44667.1	Ribosomal_protein_L7/L12_C-terminal_domain
MLOC_52954.4	Arabidopsis_protein_of_unknown_function
AK365985	tRNA_synthetases_class_II_(D,_K_and_N)
AK372312	Protein_phosphatase_2A_regulatory_B_subunit_(B56_family)
AK364421	Domain_of_unknown_function_(DUF303)
MLOC_53939.1	mTERF
AK367749	Germin_family_signature.
MLOC_6032.2	Leucine_Rich_Repeat
AK251773.1	Leucine_Rich_Repeat
AK364339	Poly(A)_polymerase_predicted_RNA_binding_domain
AK360880	AIR_synthase_related_protein,_N-terminal_domain
MLOC_66596.1	NB-ARC_domain
MLOC_77310.1	NB-ARC_domain
MLOC_16184.1	Peroxidase
MLOC_63679.1	Protein_kinase_domain
MLOC_21563.1	alpha/beta_hydrolase_fold
AK250385.1	Core_histone_H2A/H2B/H3/H4
AK376245	Protein_kinase_domain
MLOC_63415.2	Haemolysin-III_related
AK356275|AK367721	Uncharacterized_protein_family_UPF0029
AK372006	PPR_repeat
MLOC_14425.1	Plant_protein_of_unknown_function_(DUF946)
AK376220	Homoserine_dehydrogenase,_NAD_binding_domain
AK373628	TPR_repeat_region_circular_profile.
MLOC_60337.1	Protein_of_unknown_function_(DUF1442)
MLOC_66532.1	MED7_protein
MLOC_19332.3	CRAL/TRIO,_N-terminus
AK360168	IQ_motif_profile.
MLOC_25218.1	Serine_hydroxymethyltransferase_pyridoxal-phosphate_attachment_site.
MLOC_65864.1	Glucose/ribitol_dehydrogenase_family_signature
AK355239	Protein_tyrosine_kinase
MLOC_72837.2	3Fe-4S_ferredoxin_signature
MLOC_22316.1	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_53251.1	NB-ARC_domain
AK250437.1	Nucleoporin_autopeptidase
MLOC_55738.1	Trehalose-phosphatase
MLOC_13663.1	S-locus_glycoprotein_family
AK367038	Short-chain_dehydrogenase/reductase_(SDR)_superfamily_signature
AK357130	K+_potassium_transporter
AK363379	Protein_tyrosine_phosphatase-like_protein,_PTPLA
MLOC_54005.2	Chorismate_mutase_type_II
AK358053	Acetyltransferase_(GNAT)_family
AK375167	Pectate_lyase
MLOC_71028.1	Protein_kinases_ATP-binding_region_signature.
MLOC_53064.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_60721.1	Glycosyl_hydrolase_family_3_C_terminal_domain
AK361432	Peptidase_dimerisation_domain
AK357878	Trp-Asp_(WD)_repeats_profile.
MLOC_64122.1	CRAL/TRIO_domain
MLOC_64491.2	Fatty_acid_hydroxylase_superfamily
AK370783|AK369057	CHITIN-BINDING_CHITINASE_PRECURSOR_SIGNAL_GLYCOSIDASE_HYDROLASE_LECTIN_DEGRADATION_DIRECT_SEQUENCING
AK371664	Cyclin,_C-terminal_domain
MLOC_67880.4	Plant_protein_of_unknown_function
AK363910	DnaJ_domain_signature
MLOC_11663.2	Aminotransferase_class_IV
MLOC_70277.1	Serine/Threonine_protein_kinases_active-site_signature.
AK374301	TPR_repeat_profile.
MLOC_36732.1	Gelsolin_repeat
MLOC_59600.1	Cathepsin_propeptide_inhibitor_domain_(I29)
MLOC_75172.2	Multicopper_oxidase
AK363479	Ankyrin_repeat_profile.
AK356352	Protein_tyrosine_kinase
AK373517	Methyltransferase_domain
AK368534	lactate/malate_dehydrogenase,_alpha/beta_C-terminal_domain
MLOC_70630.1	P450_superfamily_signature
MLOC_4480.1	COPI_associated_protein
AK361361|AK358149	GDSL-like_Lipase/Acylhydrolase
MLOC_59709.1	PCI_domain
MLOC_43795.1	Kua-ubiquitin_conjugating_enzyme_hybrid_localisation_domain
AK375160	Pumilio_homology_domain_(PUM-HD)_profile.
AK354778	UDP-glycosyltransferases_signature.
AK371303	Ubiquitin_domain_profile.
MLOC_15522.2	EF_hand
AK374032	Superfamilies_1_and_2_helicase_ATP-binding_type-1_domain_profile.
MLOC_14904.1	Trp-Asp_(WD)_repeats_profile.
MLOC_34549.1	Protein_kinase_domain
MLOC_74886.1	Xyloglucan_fucosyltransferase
MLOC_71784.1	NADH:flavin_oxidoreductase_/_NADH_oxidase_family
AK360445	Protein_kinases_ATP-binding_region_signature.
MLOC_17636.1	AN1-like_Zinc_finger
AK356206	alpha/beta_hydrolase_fold
MLOC_50033.1	Seven_in_absentia_protein_family
AK252936.1	Eukaryotic_thiol_(cysteine)_proteases_asparagine_active_site.
AK366345	SAP_motif_profile.
AK370620	pfkB_family_carbohydrate_kinase
AK373989	AAA-protein_family_signature.
AK248960.1	Protein_of_unknown_function_(DUF295)
AK375864	PLAC8_family
AK361627	Elongation_factor_Tu_GTP_binding_domain
MLOC_18160.2	Sucrose_synthase
AK359027	NAD_dependent_epimerase/dehydratase_family
AK369194	Cobalamin-independent_synthase,_Catalytic_domain
AK356676|AK252231.1	Survival_protein_SurE
AK358409	Homeobox_domain
AK370367	Serine_carboxypeptidase_S28
MLOC_30192.3	Cyclopropane-fatty-acyl-phospholipid_synthase
MLOC_76388.1	Sel1_repeat
AK363906	IQ_motif_profile.
AK372736	Myb-type_HTH_DNA-binding_domain_profile.
AK375893	Nt-dnaJ_domain_signature.
MLOC_54492.2	F-box_domain
AK363705	OB-fold_nucleic_acid_binding_domain
AK376532	TPR_repeat_region_circular_profile.
MLOC_883.1	Leucine_rich_repeat_N-terminal_domain
MLOC_64811.1	Leucine_Rich_Repeat
MLOC_67422.1	ATP_synthase_alpha/beta_family,_beta-barrel_domain
MLOC_73186.2	Interferon-related_developmental_regulator_(IFRD)
AK370590	Protein_of_unknown_function,_DUF573
AK368407	Skp1_family,_tetramerisation_domain
MLOC_68085.2	ThiF_family
MLOC_60795.1	IQ_calmodulin-binding_motif
AK364727	Heavy-metal-associated_domain
AK376100	Ethylene_responsive_element_binding_protein_signature
AK252303.1	GDSL-like_Lipase/Acylhydrolase
MLOC_59714.1	Plant_neutral_invertase
MLOC_29003.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_39095.1	Inner_centromere_protein,_ARK_binding_region
MLOC_31124.1	UDP-glucoronosyl_and_UDP-glucosyl_transferase
AK374714	FACTOR_INITIATION_TRANSCRIPTION_TFIID_SUBUNIT_DNA_POLYMERASE_TBP-ASSOCIATED_TAF12_TATA
MLOC_13124.4	Domain_of_unknown_function_(DUF3527)
MLOC_10620.1	SNF2_family_N-terminal_domain
MLOC_53887.1	ABC_transporters_family_signature.
MLOC_17803.1	Plastocyanin-like_domain
AK367081	DnaJ_central_domain_(4_repeats)
MLOC_65555.1	Myb-like_DNA-binding_domain
MLOC_51314.1	FAR1_DNA-binding_domain
MLOC_44607.1	Plant_invertase/pectin_methylesterase_inhibitor
MLOC_5957.1	ABC_transporter_transmembrane_region
AK374413	Pollen_allergen_Lol_p2_signature
AK354694	Aspartic_acid_and_asparagine_hydroxylation_site.
MLOC_61069.2	WD_domain,_G-beta_repeat
MLOC_65056.1	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_59580.1	Ferrochelatase
MLOC_68702.2	Serine/Threonine_protein_kinases_active-site_signature.
MLOC_56703.1	NAD_dependent_epimerase/dehydratase_family
MLOC_14997.1	F-box_domain
MLOC_7433.1	Protein_of_unknown_function,_DUF584
AK370041	Reticulon
MLOC_66242.1	Late_embryogenesis_abundant_protein
MLOC_14111.1	Cytochrome_P450
AK377042	Plant_specific_eukaryotic_initiation_factor_4B
MLOC_13908.1	Glycosyl_hydrolases_family_17
MLOC_73067.1	Carbon-nitrogen_hydrolase_domain_profile.
MLOC_9927.2	Myb-like_DNA-binding_domain
AK356880	Protein_of_unknown_function_(DUF563)
AK357959	PPR_repeat
AK366869	Hypothetical_cof_family_signature_2.
MLOC_44788.1	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
AK363138	S-locus_glycoprotein_family
MLOC_6766.2	Protein_kinase_domain_profile.
MLOC_58144.1	NB-ARC_domain
MLOC_79115.1	Synaptobrevin
AK372967	Ankyrin_repeat_signature
AK354593	Cytochrome_b5_family,_heme-binding_domain_profile.
MLOC_54689.2	PHD-finger
AK372371	Dynamin_central_region
MLOC_6651.2	Rhodanese_signature_1.
AK364653	Ribosomal_L15
MLOC_44890.3	AFG1-like_ATPase
MLOC_17037.1	Plant_invertase/pectin_methylesterase_inhibitor
MLOC_5752.2	Lipase_(class_3)
MLOC_79979.2	SAM_domain_(Sterile_alpha_motif)
AK364175	Protein_of_unknown_function_(DUF3741)
MLOC_78005.1	hAT_family_dimerisation_domain
MLOC_62464.1	Urease_beta_subunit
MLOC_12962.1	Arabidopsis_proteins_of_unknown_function
MLOC_67176.1	UDP-glycosyltransferases_signature.
AK368250	Sulfotransferase_domain
AK366706	Leucine_Rich_Repeat
MLOC_74533.1	Actins_and_actin-related_proteins_signature.
MLOC_59993.1	NADH-ubiquinone/plastoquinone_oxidoreductase,_chain_3
MLOC_60455.1	Helix-loop-helix_DNA-binding_domain
MLOC_514.1	Ribosomal_protein_S18
MLOC_11045.3	DSHCT_(NUC185)_domain
MLOC_13941.2	Galactosyltransferase
AK375329	UDP-glycosyltransferases_signature.
AK363507	TPR_repeat_region_circular_profile.
MLOC_38287.1	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
AK371246	EamA-like_transporter_family
MLOC_56258.2	GDA1/CD39_(nucleoside_phosphatase)_family
AK363650	Plant_peroxidase_signature
MLOC_25299.1	Seryl-tRNA_synthetase_signature
MLOC_60124.3	Phosphofructokinase
MLOC_53593.1	Exostosin_family
MLOC_16151.2	Phenazine_biosynthesis-like_protein
AK250903.1	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_11195.1	RecF/RecN/SMC_N_terminal_domain
AK363630	Protein_kinase_domain
AK354115	Protein_phosphatase_2C
AK356846	Protein_of_unknown_function,_DUF594
MLOC_35518.1	Cysteine-rich_secretory_protein_family
MLOC_53883.5	DNA_topoisomerase
AK354837	Calcineurin-like_phosphoesterase
MLOC_63669.2	PA_domain
AK249642.1	Leucine_Rich_Repeat
AK251011.1	Elongation_factor_P,_C-terminal
MLOC_21525.2	RNase_H
MLOC_44855.1	P450_superfamily_signature
AK361559	Glycosyl_hydrolases_family_32_N-terminal_domain
AK355150	UBX_domain
AK357314	Methyltransferase_domain
MLOC_55136.1	Oligosaccharyltransferase_48_kDa_subunit_beta
MLOC_70237.1	Transferase_family
MLOC_18862.4	E1-E2_ATPase
AK372727	Brix_domain
MLOC_70190.1	WRKY_DNA_-binding_domain
MLOC_66505.1|AK366048	Elongation_factor_Tu_GTP_binding_domain
MLOC_22488.1	Peroxidase
AK357763	No_apical_meristem_(NAM)_protein
AK358438	Fructose-1,6-bisphosphatase_signature
AK362963	Src_homology_3_(SH3)_domain_profile.
MLOC_5717.1	Yos1-like
AK375770	Pectate_lyase,_N_terminus
AK371793	Type-1_KH_domain_profile.
AK359330	Plant_specific_eukaryotic_initiation_factor_4B
AK353628	Protein_phosphatase_2C
AK356149	P450_superfamily_signature
AK366920	Glutaredoxin_active_site.
AK357128|AK250483.1	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_64606.3	Ribosome_recycling_factor
MLOC_53511.1	Remorin,_C-terminal_region
MLOC_74490.1	Glycosyl_hydrolase_family_20,_domain_2
AK355378	Major_facilitator_superfamily_(MFS)_profile.
AK364616	Lipase_3_N-terminal_region
AK364106	Glycosyl_hydrolases_family_38_N-terminal_domain
AK252299.1	DnaJ_domain
MLOC_55328.1	PPR_repeat
MLOC_68772.1	Myb-like_DNA-binding_domain
AK361984	Protein_kinase_domain
MLOC_65978.1	Auxin_responsive_protein
AK372497	Pyridine_nucleotide-disulphide_oxidoreductase
MLOC_37490.2	TraB_family
AK362861	TMPIT-like_protein
AK374575	Snare_region_anchored_in_the_vesicle_membrane_C-terminus
AK376203	Cytochrome_P450
AK373742	Core_histone_H2A/H2B/H3/H4
AK363819	Anion-transporting_ATPase
MLOC_33897.1	CRS1_/_YhbY_(CRM)_domain
AK358142	DnaJ_domain
AK367925	Nucleosome_assembly_protein_(NAP)
MLOC_73851.1	Transferase_family
AK354519	Kelch_motif
AK357001	Caspase_domain
AK367303	PCMH-type_FAD-binding_domain_profile.
MLOC_71517.1	PPR_repeat
MLOC_65966.1	SRF-type_transcription_factor_(DNA-binding_and_dimerisation_domain)
MLOC_66590.1	Ligand-gated_ion_channel
AK357880	YGGT_family
MLOC_7439.1	PHD-finger
AK365842	N2,N2-dimethylguanosine_tRNA_methyltransferase
MLOC_63395.1	Universal_stress_protein_family
AK366007	MaoC_like_domain
AK250370.1|AK355811	Thioredoxin
AK375029	Epoxide_hydrolase_signature
AK374134	DCD_domain_profile.
MLOC_21773.3	F-box_domain_profile.
AK367236	Ligand-gated_ion_channel
AK368449	AP2/ERF_domain_profile.
AK365134	Elongation_factor_G_C-terminus
AK358870	F-box_domain
AK376668	BTB/POZ_domain
MLOC_12432.4	NLI_interacting_factor-like_phosphatase
AK358096	Sodium/calcium_exchanger_protein
MLOC_7046.1	Cation_transporter/ATPase,_N-terminus
MLOC_4495.1	Prp18_domain
AK372198	Zinc_finger_C2H2_type_domain_signature.
MLOC_12284.1	Mitochondrial_ATP_synthase_g_subunit
AK374551	short_chain_dehydrogenase
MLOC_34972.1	Heavy-metal-associated_domain
AK353981	Protein_of_unknown_function_(DUF632)
MLOC_39041.1	PPR_repeat
AK361690	Kinesin_motor_domain_profile.
MLOC_44991.1	Major_intrinsic_protein
MLOC_50960.1	Iron-sulphur_cluster_biosynthesis
MLOC_20588.1	PPR_repeat
AK364724	Uncharacterized_protein_family_UPF0034_signature.
MLOC_55078.2	Ydr279p_protein_family_(RNase_H2_complex_component)
MLOC_54934.2	WW_domain
MLOC_43430.2	Wound-induced_protein
MLOC_6817.1	Protein_kinase_domain
MLOC_16614.1	Cytochrome_P450
MLOC_7366.1	Glycosyl_hydrolases_family_18
MLOC_70059.2	Calmodulin_binding_protein-like
MLOC_61918.1	Pectinesterase
MLOC_57581.1	MIF4G_domain
MLOC_11912.1	Pyridoxal-phosphate_dependent_enzyme
MLOC_73375.1	Glycosyl_hydrolase_family_9
MLOC_52257.1	Proteasome_subunit_A_N-terminal_signature
MLOC_2429.1	Leucine_Rich_Repeat
AK366198	AP2_domain
AK360409	P450_superfamily_signature
AK369220	Protein_kinase_domain
AK356189	Protein_kinase_domain_profile.
AK248375.1	Cytochrome_P450
AK375905	BT1_family
MLOC_66714.1	PPR_repeat
AK358044|AK356940	Protein_of_unknown_function_(DUF568)
MLOC_52171.1	Gcn5-related_N-acetyltransferase_(GNAT)_domain_profile.
MLOC_5173.1	ADP-glucose_pyrophosphorylase_signature_2.
MLOC_60626.1	GlcNAc-PI_de-N-acetylase
MLOC_5128.1	C2_domain
AK366061	Glycolipid_transfer_protein_(GLTP)
AK366120	La-type_HTH_domain_profile.
MLOC_30788.2	NAF_domain
MLOC_38048.1	Ribosomal_protein_L20
MLOC_5307.7	Protein_kinase_domain
AK358091	Uncharacterised_protein_family_UPF0047
MLOC_65293.1	Uncharacterized_protein_family_UPF0016
AK361351	IQ_motif_profile.
AK372980	Putative_integral_membrane_protein_conserved_region_(DUF2404)
MLOC_38289.3	CCT_motif
MLOC_64943.1	FHA_domain
AK366273	DNA_polymerase_III_subunits_gamma_and_tau_domain_III
AK373895	2OG-Fe(II)_oxygenase_superfamily
MLOC_7757.1	No_apical_meristem_(NAM)_protein
MLOC_37052.1	Photosystem_II_10_kDa_polypeptide_PsbR
AK249633.1	C2_domain_of_PTEN_tumour-suppressor_protein
AK360282	Triose-phosphate_Transporter_family
MLOC_54916.3	alpha/beta_hydrolase_fold
MLOC_59746.4	Zinc-binding_dehydrogenase
AK371196	Carboxypeptidase_C_serine_protease_(S10)_family_signature
AK354497|AK357381	Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.
MLOC_293.2	Membrane_transport_protein
MLOC_58166.2	SCO1/SenC
MLOC_20933.1	Glycosyl_hydrolases_family_32_C_terminal
MLOC_13897.1	PPR_repeat
MLOC_9973.1	bZIP_transcription_factor
MLOC_71845.1	NAD_dependent_epimerase/dehydratase_family
AK354546	Zinc_finger_RING-type_profile.
MLOC_58244.3	E1-E2_ATPase
AK372099	CUE_domain_profile.
AK366388	BAAT_/_Acyl-CoA_thioester_hydrolase_C_terminal
AK355004	Major_intrinsic_protein
AK365179	Brain_and_reproductive_organ-expressed_protein_(BRE)
MLOC_73623.1	NB-ARC_domain
AK370530	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_57343.1	D-mannose_binding_lectin
MLOC_71773.1	Sugar_(and_other)_transporter
AK371755	von_Willebrand_factor_type_A_domain
AK248469.1	Plant_ascorbate_peroxidase_signature
MLOC_43730.1	GRAS_family_transcription_factor
MLOC_65799.2	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_9883.3	GDP-fucose_protein_O-fucosyltransferase
AK371941	B3_DNA-binding_domain_profile.
AK369260	Cellulase_(glycosyl_hydrolase_family_5)
MLOC_16429.1	Helix-loop-helix_DNA-binding_domain
MLOC_15014.2	\'Homeobox\'_domain_signature.
MLOC_20784.1	FGGY_family_of_carbohydrate_kinases,_N-terminal_domain
AK252929.1	Glycosyl_hydrolases_family_35
AK364292	Cytochrome_C1_family
MLOC_10076.3	Protein_kinase_domain
AK376779	Protein_kinase_domain_profile.
MLOC_72170.1	Glyceraldehyde_3-phosphate_dehydrogenase_active_site.
AK355398	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
AK359936	Phospholipase_D_Active_site_motif
MLOC_816.1	Sec-independent_protein_translocase_protein_(TatC)
AK373234	Neurochondrin
MLOC_20578.1	von_Willebrand_factor_type_A_domain
MLOC_68071.2	RST_domain_of_plant_C-terminal
AK364882	Protein_kinase_domain
MLOC_52985.1	Plant_protein_of_unknown_function_(DUF946)
AK365995	Helix-loop-helix_DNA-binding_domain
AK354964|AK368925	Histidine_triad_family_signature
AK367399	Putative_AMP-binding_domain_signature.
AK367340|AK368317	Tudor_domain_profile.
MLOC_14744.1	Trp-Asp_(WD)_repeats_signature.
MLOC_57128.3	Rap1-interacting_factor_1_N_terminal
AK367568	Protein_of_unknown_function_(DUF567)
AK367107	F-box_domain
AK364722	Protein_of_unknown_function,_DUF617
MLOC_59912.1	Myb-like_DNA-binding_domain
AK358280	Formin_Homology_2_Domain
AK356979	IQ_calmodulin-binding_motif
MLOC_72373.1	VHS_domain
MLOC_63996.1	MtN3/saliva_family
AK375512|AK372669	RNA_polymerase_Rpc34_subunit
MLOC_67746.2	Protein_kinase_domain
AK252952.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
MLOC_4774.1	Phosphoribulokinase_/_Uridine_kinase_family
AK355444	Pentatricopeptide_(PPR)_repeat_profile.
AK376599	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
AK353686	Methyltransferase_domain
AK362022	Zinc_finger_RING-CH-type_profile.
MLOC_63726.1	Leucine_Rich_Repeat
MLOC_68625.2	Cytochrome_P450
MLOC_36683.1	1,3-beta-glucan_synthase_component
AK373549	Cupin
MLOC_53374.2	grpE_protein_signature.
AK251829.1	TCP-1/cpn60_chaperonin_family
MLOC_70421.1	Protein_of_unknown_function_(DUF567)
MLOC_55489.1	E-class_P450_group_I_signature
MLOC_6666.2	alpha/beta_hydrolase_fold
AK365732	Serine/Threonine_protein_kinases_active-site_signature.
MLOC_55683.2	Sodium/hydrogen_exchanger_family
AK359237	DnaJ_domain_signature
MLOC_20977.1	C2_domain
AK370043	WRKY_DNA_-binding_domain
AK362840	Armadillo/beta-catenin-like_repeat
AK363763	Bacterial_leader_peptidase_1_(S26A)_family_signature
AK370297	GNS1/SUR4_family
AK370975	Chlorophyll_A-B_binding_protein
MLOC_53633.3	Sgf11_(transcriptional_regulation_protein)
MLOC_15779.1	Leucine_Rich_Repeat
MLOC_15538.1	Glycosyl_transferases_group_1
AK248920.1	10kDa_chaperonin_signature
MLOC_61752.1	Cellulase_(glycosyl_hydrolase_family_5)
MLOC_7755.1	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
AK359835	Basic-leucine_zipper_(bZIP)_domain_signature.
MLOC_37774.2	IQ_motif_profile.
AK361683	Trp-Asp_(WD)_repeats_signature.
AK354467	Glycosyl_transferase_family_8
MLOC_25651.1	Protein_kinase_domain
MLOC_65598.1	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
AK362230	3\'_exoribonuclease_family,_domain_1
AK363059	\'Cold-shock\'_domain_signature.
AK366880	Twin_arginine_translocation_(Tat)_signal_profile.
MLOC_65891.1	Protein_tyrosine_kinase
AK370512	60Kd_inner_membrane_protein
MLOC_19537.2	Zinc_finger_RING-type_profile.
MLOC_11259.1	Lipase_(class_3)
MLOC_32600.1	Protein_kinase_domain
MLOC_67039.1	Protein_of_unknown_function_(DUF295)
MLOC_76303.1	Aminotransferase_class_I_and_II
AK376467|AK251092.1	RIBOSOMAL_L32_RIBONUCLEOPROTEIN_60S_L32E_50S_L32_STRAIN_CHROMOSOME_DIRECT
AK361295	B-box_zinc_finger
MLOC_1317.1	PAN_domain
AK376768|AK361411	GATA_zinc_finger
AK369892	Tetratricopeptide_repeat
AK369481	Coatomer_WD_associated_region
MLOC_43237.1	Expansin,_family-45_endoglucanase-like_domain_profile.
MLOC_55152.1	Oxidoreductase_NAD-binding_domain
AK360234	Zinc_finger_PHD-type_profile.
MLOC_63614.1	PPR_repeat
MLOC_62219.3	Leucine_Rich_Repeat
AK250784.1	Metallopeptidase_family_M24
MLOC_16526.1	Mediator_complex_subunit_MED14
MLOC_7420.1	DnaJ_domain
MLOC_9952.1	Rhomboid_family
AK365195	Helix-loop-helix_DNA-binding_domain
AK375184	Type-1_KH_domain_profile.
MLOC_53104.1	Tyrosine_kinase_catalytic_domain_signature
MLOC_2498.2	GTPase_of_unknown_function
MLOC_76739.1	2OG-Fe(II)_oxygenase_superfamily
AK374513	Zinc_finger,_C3HC4_type_(RING_finger)
AK360753	Prenyltransferase_and_squalene_oxidase_repeat
AK357547	CYTH_domain
AK355149	Mitochondrial_carrier_protein
MLOC_10834.2	Hsp20/alpha_crystallin_family
MLOC_66718.1	Transferase_family
MLOC_14785.1	TCP_family_transcription_factor
MLOC_38445.1	NB-ARC_domain
MLOC_62445.1	EF_hand
MLOC_51041.2	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_8843.3	Retrotransposon_gag_protein
AK364717	Uncharacterised_conserved_protein
AK376584	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_70449.2	BRCT_domain_profile.
AK366114	GTP-binding_elongation_factors_signature.
MLOC_21264.1	POT_family
AK372534	Myb-type_HTH_DNA-binding_domain_profile.
AK361413	Cyclin-dependent_kinases_regulatory_subunits_signature_1.
MLOC_68299.2	WRKY_DNA_-binding_domain
MLOC_13639.1	Strictosidine_synthase
MLOC_38857.1	Plant_transposon_protein
MLOC_68994.1	MtN3/saliva_family
AK376161	GDSL-like_Lipase/Acylhydrolase
MLOC_80875.1	AP2_domain
AK353903	POT_family
AK249459.1	Major_Facilitator_Superfamily
AK369713	AUX/IAA_family
AK374141	Zinc_finger_SIAH-type_profile.
AK354105	Protein_kinase_domain
AK372498	Leucine_Rich_Repeat
AK377035	Armadillo/beta-catenin-like_repeat
MLOC_55912.1	Plant_specific_mitochondrial_import_receptor_subunit_TOM20
MLOC_58976.1	BOP1NT_(NUC169)_domain
MLOC_63051.7	IBR_domain
AK363838	Leucine_Rich_Repeat
AK365083	Nucleotide-sugar_transporter
MLOC_72547.2	alpha/beta_hydrolase_fold
MLOC_8583.1	Protein_of_unknown_function,_DUF599
MLOC_54227.1	AP2/ERF_domain_profile.
MLOC_11098.1	Calcium-binding_EGF_domain
AK372386	MatE
AK355919	Plant_PDR_ABC_transporter_associated
AK360129	Dimerisation_domain
AK366859	Glycosyl_hydrolase_family_9
MLOC_54463.1	Zinc_finger_RING-type_signature.
AK375447	Ankyrin_repeat_profile.
MLOC_34321.4	Histone_acetylation_protein
MLOC_43518.1	EF_hand
MLOC_62824.1	UBA/TS-N_domain
AK376487	Ubiquitin_family
AK374787	Helix-loop-helix_DNA-binding_domain
MLOC_73896.6	haloacid_dehalogenase-like_hydrolase
MLOC_65637.1	Tetrahydrofolate_dehydrogenase/cyclohydrolase_family_signature
AK252237.1	SAC3/GANP/Nin1/mts3/eIF-3_p25_family
AK362909	PH_domain_profile.
AK363632	La-type_HTH_domain_profile.
AK366298	Pentatricopeptide_(PPR)_repeat_profile.
MLOC_55696.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
AK362040	BAG_domain
MLOC_28612.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_56559.1	AMP-binding_enzyme
AK363553|MLOC_12824.2	Protein_of_unknown_function,_DUF573
AK376942|AK248358.1	Aux/IAA-ARF_dimerization_domain_profile.
AK367690	Disease_resistance_protein_signature
MLOC_12498.3	Nitrilases_/_cyanide_hydratase_active_site_signature.
MLOC_71446.1	PPR_repeat
MLOC_43590.1	Pre-SET_motif
MLOC_18353.1	Glycosyl_hydrolases_family_28
AK370121	Protein_kinase_domain_profile.
MLOC_20885.1|AK354306	Phytochelatin_synthase
MLOC_56743.1	GTPase_of_unknown_function
AK367384	Superfamilies_1_and_2_helicase_C-terminal_domain_profile.
AK375449	Fasciclin_domain
AK355975	AP2/ERF_domain_profile.
AK363024	Protein_phosphatase_2A_regulatory_subunit_PR55_signature_1.
MLOC_61784.1	ABC_transporter
MLOC_80730.1	Ubiquitin_domain_profile.
AK376242	DHHC_zinc_finger_domain
AK249011.1	Zinc-binding_dehydrogenase
AK358763	jmjN_domain
AK374742	Domain_of_unknown_function_(DUF1785)
MLOC_73052.1	Aromatic-ring_hydroxylase_(flavoprotein_monooxygenase)_signature
AK366449	cAMP/cGMP_binding_motif_profile.
MLOC_58734.1	Cupin
MLOC_55106.10	DNA_polymerase_family_B
MLOC_73931.1	Protein_of_unknown_function,_DUF617
MLOC_74329.1	Amidase
MLOC_59044.2	Serine/Threonine_protein_kinases_active-site_signature.
MLOC_37458.1	Caleosin_related_protein
AK375065	LisH
AK367518	Epoxide_hydrolase_signature
AK369094	Amidohydrolase_family
MLOC_74748.1	Importin-beta_N-terminal_domain_profile.
MLOC_78080.1	Ankyrin_repeat_region_circular_profile.
MLOC_56750.1	Protein_kinase_domain
AK362803	Triose-phosphate_Transporter_family
MLOC_65646.2	Probable_molybdopterin_binding_domain
MLOC_52140.3	NHL_repeat
AK357263	ABC_transporter
MLOC_60108.1	Domain_of_unknown_function_(DUF296)
MLOC_7181.2	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_80981.1	Protein_of_unknown_function,_DUF623
