transcript	domain
AK353818	IPR017442
AK353818	PF00069
AK353818	PTHR24420:SF426
AK353818	IPR017441
AK353818	PS00107
AK353818	IPR008266
AK353818	PS00109
AK353818	PTHR24420
AK353818	IPR000719
AK353818	PS50011
AK364306	PTHR10072:SF29
AK364306	PTHR10072
AK369869	IPR004333
AK369869	PS51141
AK369869	PF03110
AK364488	IPR007807
AK364488	PF05127
AK364488	PTHR10887:SF140
AK364488	PTHR10887
AK364488	IPR014001
AK364488	SM00487
AK372502	IPR012946
AK372502	SM00768
AK372502	IPR000490
AK372502	PF00332
AK372502	PTHR16631
AK372502	PS00587
AK372502	PF07983
MLOC_19305.1	IPR012967
MLOC_19305.1	PF08100
MLOC_19305.1	IPR001077
MLOC_19305.1	PF00891
AK355279	PTHR19376
AK355279	IPR015699
AK355279	PTHR19376:SF11
AK355279	IPR007080
AK355279	PF04997
AK356386	PTHR11178
AK356386	IPR001075
AK356386	PD002830
AK356386	PF01106
AK356386	IPR014824
AK356386	PF08712
AK356386	SM00932
AK368637	IPR001310
AK368637	PTHR23089
AK368637	IPR019808
AK368637	PS00892
AK368637	PS51084
AK368637	PR00332
AK368637	PF01230
MLOC_62563.1	PTHR11260:SF57
MLOC_62563.1	IPR017933
MLOC_62563.1	PS50405
MLOC_62563.1	IPR004046
MLOC_62563.1	PF00043
MLOC_62563.1	IPR004045
MLOC_62563.1	PS50404
MLOC_62563.1	PTHR11260
MLOC_62563.1	PF02798
MLOC_14078.1	IPR019083
MLOC_14078.1	PF09597
AK369742	IPR018203
AK369742	PR00891
AK369742	PTHR11787
AK369742	IPR000806
AK369742	PR00892
AK369742	PF00996
AK360261	PR00019
AK360261	IPR000719
AK360261	PS50011
AK360261	IPR001611
AK360261	PF00560
AK360261	IPR017441
AK360261	PS00107
AK360261	IPR008271
AK360261	PS00108
AK360261	IPR013210
AK360261	PF08263
AK360261	PTHR24420:SF423
AK360261	PTHR24420
AK360261	IPR001245
AK360261	PF07714
MLOC_57706.1	PTHR24073
MLOC_57706.1	IPR001806
MLOC_57706.1	PR00449
MLOC_57706.1	PS51419
MLOC_57706.1	IPR003579
MLOC_57706.1	SM00175
MLOC_57706.1	PTHR24073:SF246
MLOC_57706.1	PF00071
AK369945	PF03059
AK369945	IPR004298
AK369945	PS51142
AK369945	PTHR11208:SF2
AK369945	PTHR11208
AK365525	IPR000195
AK365525	PF00566
AK374770|AK366609	IPR007087
AK374770|AK366609	PS50157
AK374770|AK366609	PS00028
AK374770|AK366609	IPR015880
AK374770|AK366609	SM00355
AK372146	PTHR23050:SF20
AK372146	IPR018247
AK372146	PS00018
AK372146	IPR018249
AK372146	PS50222
AK372146	PTHR23050
AK372146	IPR018248
AK372146	PF00036
AK372146	IPR002048
AK372146	SM00054
MLOC_20033.1	IPR005455
MLOC_20033.1	PR01640
MLOC_20033.1	IPR002097
MLOC_20033.1	PR00392
MLOC_20033.1	PTHR11604
MLOC_20033.1	SM00392
MLOC_20033.1	PF00235
MLOC_20033.1	PS00414
MLOC_56059.1	IPR002213
MLOC_56059.1	PF00201
AK249661.1	IPR000877
AK249661.1	PF00228
MLOC_76875.1	IPR001353
MLOC_76875.1	PF00227
AK359922	IPR004254
AK359922	PF03006
AK359922	PTHR20855:SF14
AK359922	PTHR20855
AK372682	IPR017442
AK372682	PF00069
AK372682	PTHR24420
AK372682	IPR000719
AK372682	PS50011
AK372682	PTHR24420:SF799
MLOC_74422.1	PTHR10426:SF19
MLOC_74422.1	PTHR10426
MLOC_74422.1	IPR018119
MLOC_74422.1	PF03088
AK368508	IPR000608
AK368508	PF00179
AK368508	PS50127
AK368508	SM00212
AK368508	PTHR24067:SF30
AK368508	PTHR24067
AK368508	IPR023313
AK368508	PS00183
MLOC_11066.1	IPR003676
MLOC_11066.1	PF02519
MLOC_44387.6	IPR002645
MLOC_44387.6	PS50801
MLOC_44387.6	IPR011547
MLOC_44387.6	PF00916
MLOC_44387.6	IPR018045
MLOC_44387.6	PS01130
MLOC_44387.6	PF01740
MLOC_44387.6	PTHR11814:SF46
MLOC_44387.6	PTHR11814
MLOC_13926.1	IPR006671
MLOC_13926.1	PS00292
MLOC_13926.1	IPR013763
MLOC_13926.1	SM00385
MLOC_13926.1	PF00134
MLOC_13926.1	IPR004367
MLOC_13926.1	PF02984
MLOC_13926.1	PTHR10177:SF24
MLOC_13926.1	PTHR10177
AK375303	IPR018181
AK375303	PS01036
AK375303	PS00297
AK375303	IPR001023
AK375303	PR00301
AK375303	PS00329
AK375303	IPR013126
AK375303	PF00012
AK375303	PTHR19375
MLOC_59158.1	IPR002885
MLOC_59158.1	PF01535
AK359057|MLOC_70157.1	PTHR13789:SF6
AK359057|MLOC_70157.1	PTHR13789
AK359057|MLOC_70157.1	IPR002938
AK359057|MLOC_70157.1	PF01494
AK359057|MLOC_70157.1	IPR003042
AK359057|MLOC_70157.1	PR00420
MLOC_34889.2	IPR002659
MLOC_34889.2	PF01762
MLOC_34889.2	IPR001079
MLOC_34889.2	SM00908
MLOC_34889.2	PF00337
MLOC_34889.2	PTHR11214:SF11
MLOC_34889.2	SM00276
MLOC_34889.2	PS51304
MLOC_34889.2	PTHR11214
MLOC_61790.1|AK362715	IPR003010
MLOC_61790.1|AK362715	PF00795
MLOC_65333.1	IPR023210
MLOC_65333.1	PF00248
MLOC_65333.1	IPR001395
MLOC_65333.1	PTHR11732
MLOC_65333.1	IPR005399
MLOC_65333.1	PR01577
MLOC_65333.1	PTHR11732:SF14
MLOC_13011.1	IPR006501
MLOC_13011.1	PF04043
AK365981	IPR008271
AK365981	PS00108
AK365981	IPR000719
AK365981	PS50011
AK365981	PTHR24056:SF77
AK365981	IPR017442
AK365981	PF00069
AK365981	PTHR24056
AK365981	IPR017441
AK365981	PS00107
AK365981	IPR002290
AK365981	SM00220
AK362676	IPR008271
AK362676	PS00108
AK362676	IPR000719
AK362676	PS50011
AK362676	IPR001245
AK362676	PF07714
AK362676	IPR017441
AK362676	PS00107
AK362676	PTHR24420:SF793
AK362676	PTHR24420
MLOC_6251.1	IPR001810
MLOC_6251.1	PS50181
MLOC_6251.1	IPR006652
MLOC_6251.1	PF01344
MLOC_6251.1	SM00612
MLOC_6251.1	PTHR24414:SF195
MLOC_6251.1	PF00646
MLOC_6251.1	SM00256
MLOC_6251.1	PTHR24414
MLOC_69777.2	IPR018249
MLOC_69777.2	PS50222
MLOC_69777.2	IPR002048
MLOC_69777.2	SM00054
MLOC_69777.2	PTHR10891
MLOC_69777.2	IPR018248
MLOC_69777.2	PF00036
MLOC_69777.2	PTHR10891:SF39
MLOC_69777.2	IPR018247
MLOC_69777.2	PS00018
AK252749.1	IPR001925
AK252749.1	PF01459
AK374428	PTHR10366:SF20
AK374428	PTHR10366
AK374428	IPR002225
AK374428	PF01073
AK360308	IPR004518
AK360308	PF03819
AK360308	IPR009039
AK360308	PS50912
AK360308	PTHR14552
AK360308	PTHR14552:SF5
MLOC_61668.2	IPR008417
MLOC_61668.2	PTHR12701
MLOC_61668.2	PF05529
MLOC_61668.2	PTHR12701:SF1
AK359044	IPR005118
AK359044	PF03461
AK359044	IPR001650
AK359044	PF00271
MLOC_14999.1	IPR001611
MLOC_14999.1	PF00560
MLOC_14999.1	IPR013210
MLOC_14999.1	PF08263
MLOC_14999.1	IPR017442
MLOC_14999.1	PF00069
AK374060	PTHR25943
AK374060	IPR001128
AK374060	PR00385
AK374060	IPR002401
AK374060	PR00463
AK374060	IPR017972
AK374060	PS00086
AK374060	PTHR25943:SF170
AK374060	PF00067
AK354465	IPR001731
AK354465	PF00490
AK354465	PTHR11458
AK354465	PR00144
AK354465	PS00169
MLOC_54939.5	IPR003395
MLOC_54939.5	PF02463
AK374001|AK369754	IPR000266
AK374001|AK369754	PR00973
AK374001|AK369754	PD001295
AK374001|AK369754	PTHR10744
AK374001|AK369754	PF00366
AK362707	IPR010770
AK362707	PF07093
AK362707	PTHR13060
MLOC_4144.1	IPR007526
MLOC_4144.1	PF04433
MLOC_4144.1	IPR002937
MLOC_4144.1	PF01593
AK251834.1	IPR005123
AK251834.1	PF03171
MLOC_71031.2	IPR009395
MLOC_71031.2	PF06320
AK358775	IPR014025
AK358775	PR00160
AK358775	PTHR10168:SF47
AK358775	PTHR10168
AK358775	IPR002109
AK358775	PS51354
AK358775	PF00462
AK369837	PTHR13124
AK369837	IPR021757
AK369837	PF11788
AK369837	PTHR13124:SF2
AK355291	PTHR10640:SF2
AK355291	IPR001303
AK355291	PF00596
AK355291	IPR005834
AK355291	PF00702
AK355291	PTHR10640
MLOC_68568.1	IPR002119
MLOC_68568.1	SM00414
MLOC_68568.1	PTHR23430
MLOC_68568.1	PR00620
MLOC_68568.1	IPR007125
MLOC_68568.1	PF00125
MLOC_68568.1	PS00046
MLOC_64782.2	IPR013148
MLOC_64782.2	PF00251
MLOC_64782.2	IPR013189
MLOC_64782.2	PF08244
MLOC_64782.2	IPR018053
MLOC_64782.2	PS00609
MLOC_64782.2	IPR001362
MLOC_64782.2	SM00640
MLOC_13821.4	IPR003817
MLOC_13821.4	PF02666
AK372041	PTHR10992:SF12
AK372041	IPR002410
AK372041	PR00793
AK372041	PTHR10992
AK372041	IPR000073
AK372041	PF00561
AK373567	PTHR10694
AK373567	IPR013129
AK373567	PF02373
AK373567	IPR003349
AK373567	PF02375
AK373567	IPR019786
AK373567	PS01359
AK373567	SM00545
AK373567	IPR001606
AK373567	PF01388
AK373567	PS51183
AK373567	IPR019787
AK373567	PS50016
AK373567	IPR001965
AK373567	SM00249
AK373567	IPR013637
AK373567	PF08429
AK373567	IPR004198
AK373567	PF02928
AK373567	PTHR10694:SF8
AK373567	PF00628
AK373567	PS51011
AK373567	IPR003347
AK373567	PS51184
AK373567	SM00558
AK355408	IPR001471
AK355408	PF00847
AK355408	PTHR11795
AK355408	SM00380
AK355408	PTHR11795:SF332
AK355408	PS51032
MLOC_58649.1	IPR000864
MLOC_58649.1	PS00285
MLOC_58649.1	PR00292
MLOC_58649.1	PF00280
MLOC_58649.1	PD002604
MLOC_63963.2	IPR004265
MLOC_63963.2	PF03018
MLOC_63963.2	PTHR21495
AK374668	IPR009818
AK374668	PF07145
AK374668	IPR000504
AK374668	PS50102
AK374668	PTHR22792:SF37
AK374668	IPR006630
AK374668	PF05383
AK374668	PTHR22792
AK374668	PS50961
AK374668	SM00715
AK374668	IPR002344
AK374668	PR00302
AK361366	IPR023796
AK361366	SM00093
AK361366	IPR000215
AK361366	PTHR11461
AK361366	IPR023795
AK361366	PS00284
AK361366	PF00079
AK361366	IPR015554
AK361366	PTHR11461:SF24
MLOC_14324.1	IPR013078
MLOC_14324.1	PF00300
AK252226.1	IPR005651
AK252226.1	PF03966
MLOC_60997.1	IPR006703
MLOC_60997.1	PF04548
MLOC_60997.1	PF11886
MLOC_64945.1	IPR010259
MLOC_64945.1	PF05922
MLOC_64945.1	IPR000209
MLOC_64945.1	PF00082
AK368760	IPR019781
AK368760	PF00400
AK368760	IPR018957
AK368760	PF00097
AK368760	IPR017986
AK368760	PS50294
AK368760	PTHR22844
AK368760	IPR001841
AK368760	PS50089
AK368760	IPR001680
AK368760	SM00320
AK368760	SM00184
AK368760	IPR019782
AK368760	PS50082
AK368760	IPR017907
AK368760	PS00518
AK370788	IPR017987
AK370788	PR00049
AK370788	IPR000719
AK370788	PS50011
AK370788	PTHR24420:SF482
AK370788	IPR001245
AK370788	PF07714
AK370788	PTHR24420
AK370788	IPR001611
AK370788	PF00560
AK354702	PTHR22601
AK354702	IPR004813
AK354702	PF03169
AK363781	IPR005824
AK363781	SM00739
AK363781	IPR013843
AK363781	PF08071
AK363781	IPR000876
AK363781	PTHR11581
AK363781	PF00467
AK363781	IPR013845
AK363781	PD002667
AK363781	IPR002942
AK363781	SM00363
AK363781	PF01479
AK363781	PS50889
AK363781	PF00900
AK363781	IPR018199
AK363781	PS00528
AK375283	IPR000558
AK375283	PR00621
AK375283	IPR007125
AK375283	PF00125
AK375283	PTHR23428
AK375283	PS00357
AK375283	SM00427
MLOC_13572.3	IPR006671
MLOC_13572.3	PF00134
MLOC_3977.2	IPR000728
MLOC_3977.2	PF00586
MLOC_3977.2	IPR010918
MLOC_3977.2	PF02769
MLOC_30538.1	IPR000477
MLOC_30538.1	PF00078
AK249310.1	IPR001912
AK249310.1	PF00163
AK249310.1	IPR002942
AK249310.1	PF01479
AK252461.1	IPR005574
AK252461.1	PF03874
AK366742	PTHR12979
AK366742	PTHR12979:SF4
AK361409	PTHR10366:SF147
AK361409	IPR001509
AK361409	PF01370
AK361409	PTHR10366
MLOC_51536.5	IPR011084
MLOC_51536.5	PF07522
MLOC_58036.1	IPR002290
MLOC_58036.1	SM00220
MLOC_58036.1	PTHR24352:SF88
MLOC_58036.1	IPR008271
MLOC_58036.1	PS00108
MLOC_58036.1	IPR000719
MLOC_58036.1	PS50011
MLOC_58036.1	IPR017442
MLOC_58036.1	PF00069
MLOC_58036.1	PTHR24352
MLOC_60568.1	IPR002885
MLOC_60568.1	PF01535
MLOC_35914.1	IPR002885
MLOC_35914.1	PF01535
MLOC_35914.1	PTHR24015:SF8
MLOC_35914.1	PS51375
MLOC_35914.1	PTHR24015
AK364825	IPR007275
AK364825	PS50882
AK364825	PTHR12357:SF6
AK364825	PTHR12357
AK364825	PF04146
MLOC_64669.1	IPR001087
MLOC_64669.1	PF00657
MLOC_64669.1	PTHR22835
MLOC_64669.1	PTHR22835:SF39
AK360628	IPR004340
AK360628	PF03121
MLOC_57940.1	IPR003676
MLOC_57940.1	PF02519
MLOC_201.1	IPR003245
MLOC_201.1	PF02298
AK248246.1	IPR001440
AK248246.1	PF00515
AK248246.1	IPR013105
AK248246.1	PF07719
AK357559	PTHR23213
AK357559	IPR003104
AK357559	SM00498
AK357559	PTHR23213:SF18
AK357559	IPR015425
AK357559	PS51444
AK357559	PF02181
MLOC_58100.1	IPR017442
MLOC_58100.1	PF00069
MLOC_58100.1	IPR001220
MLOC_58100.1	PF00139
AK363296	IPR001623
AK363296	SM00271
AK363296	IPR003095
AK363296	PR00625
AK363296	PTHR24077:SF88
AK363296	PF00226
AK363296	IPR018253
AK363296	PS00636
AK363296	PS50076
AK363296	IPR002939
AK363296	PF01556
AK363296	PTHR24077
MLOC_57976.1	PTHR22814
MLOC_57976.1	PTHR22814:SF56
MLOC_57976.1	IPR006121
MLOC_57976.1	PF00403
AK371675	PTHR10351
AK371675	IPR002715
AK371675	PF01849
AK371675	PTHR10351:SF23
AK371675	PS51151
MLOC_59537.1	IPR000719
MLOC_59537.1	PS50011
MLOC_59537.1	IPR017441
MLOC_59537.1	PS00107
MLOC_59537.1	IPR008271
MLOC_59537.1	PS00108
MLOC_59537.1	PTHR24420:SF607
MLOC_59537.1	PTHR24420
MLOC_59537.1	IPR001245
MLOC_59537.1	PF07714
AK370359	PTHR22790:SF14
AK370359	IPR001876
AK370359	PS50199
AK370359	PF00641
AK370359	IPR022764
AK370359	PF01694
AK370359	PS01358
AK370359	PTHR22790
AK370359	SM00547
AK248422.1	IPR005344
AK248422.1	PF03661
MLOC_13683.1	IPR013210
MLOC_13683.1	PF08263
MLOC_13683.1	IPR001611
MLOC_13683.1	PF00560
AK362832	IPR013932
AK362832	PF08623
AK362832	PTHR12696
MLOC_69137.1	IPR010369
MLOC_69137.1	PF06136
MLOC_54510.1	IPR017442
MLOC_54510.1	PF00069
MLOC_54510.1	IPR018248
MLOC_54510.1	PF00036
AK365132	IPR016160
AK365132	PS00070
AK365132	IPR015590
AK365132	PF00171
AK365132	PTHR11699:SF45
AK365132	PS00687
AK365132	PTHR11699
AK370387	IPR008889
AK370387	PF05678
MLOC_66238.2	PTHR11206:SF3
MLOC_66238.2	IPR002528
MLOC_66238.2	PF01554
MLOC_66238.2	PTHR11206
AK363223	IPR013227
AK363223	PF08276
AK363223	IPR001480
AK363223	PF01453
AK363223	IPR000858
AK363223	PF00954
MLOC_79523.1	IPR000477
MLOC_79523.1	PF00078
AK362446	IPR001841
AK362446	PS50089
AK362446	IPR002035
AK362446	SM00327
AK362446	SM00184
AK362446	PS50234
AK362446	IPR001965
AK362446	SM00249
AK362446	PTHR11210:SF4
AK362446	IPR018957
AK362446	PF00097
AK362446	PF00092
AK362446	PTHR11210
MLOC_14621.2	IPR006091
MLOC_14621.2	PF02770
MLOC_14621.2	IPR006092
MLOC_14621.2	PF02771
MLOC_14621.2	IPR006090
MLOC_14621.2	PF00441
MLOC_53106.1	IPR013094
MLOC_53106.1	PF07859
AK359705|AK370843	IPR001002
AK359705|AK370843	PF00187
AK359705|AK370843	IPR000726
AK359705|AK370843	PF00182
MLOC_53961.1	IPR001878
MLOC_53961.1	PF00098
AK371630	IPR001810
AK371630	PF00646
MLOC_36868.7	IPR017442
MLOC_36868.7	PF00069
AK358148	IPR000232
AK358148	SM00415
AK358148	PF00447
AK358148	PS00434
AK358148	PTHR10015
AK358148	PTHR10015:SF7
AK358148	PR00056
AK373935	PTHR14000:SF1
AK373935	PTHR14000
AK373935	IPR022228
AK373935	PF12579
AK371695	IPR001606
AK371695	PS51011
AK371695	PTHR22970:SF1
AK371695	PTHR22970
AK371695	IPR001965
AK371695	SM00249
AK371695	PF01388
AK248159.1	IPR007233
AK248159.1	PF04099
AK248159.1	PTHR23249
AK248159.1	PTHR23249:SF2
MLOC_57947.1	IPR000858
MLOC_57947.1	PF00954
MLOC_57947.1	IPR017442
MLOC_57947.1	PF00069
MLOC_57947.1	IPR013227
MLOC_57947.1	PF08276
MLOC_57947.1	IPR001480
MLOC_57947.1	PF01453
MLOC_6223.1	IPR002885
MLOC_6223.1	PS51375
MLOC_6223.1	PTHR24015:SF134
MLOC_6223.1	PF01535
MLOC_6223.1	PTHR24015
MLOC_28394.1	IPR002492
MLOC_28394.1	PF01498
MLOC_58140.1	IPR003864
MLOC_58140.1	PF02714
MLOC_58140.1	PTHR13018
MLOC_58140.1	PTHR13018:SF5
AK374268	IPR001202
AK374268	PS50020
AK359962	IPR001128
AK359962	PR00385
AK359962	PF00067
AK359962	PTHR24298
AK359962	IPR002401
AK359962	PR00463
AK359962	IPR017972
AK359962	PS00086
AK359962	PTHR24298:SF44
AK357951	IPR000225
AK357951	PS50176
AK357951	PTHR23315
AK357951	IPR000210
AK357951	SM00225
AK357951	SM00185
AK357951	PS50097
AK357951	PF00514
AK357951	IPR013069
AK357951	PF00651
AK373434	IPR000210
AK373434	PS50097
AK373434	PTHR13690:SF174
AK373434	IPR004249
AK373434	PF03000
AK373434	PTHR13690
AK368384	IPR002934
AK368384	PF01909
AK368384	PTHR12271
AK368384	PTHR12271:SF14
MLOC_55704.1	IPR010341
MLOC_55704.1	PF06075
AK365019	IPR000473
AK365019	PTHR18804
AK365019	PTHR18804:SF7
AK365019	PS00828
AK365019	PF00444
AK365019	PD002101
AK362526	PTHR10024:SF97
AK362526	IPR000008
AK362526	SM00239
AK362526	IPR018029
AK362526	PS50004
AK362526	IPR013583
AK362526	PF08372
AK362526	PF00168
AK362526	PTHR10024
MLOC_65048.1	IPR000509
MLOC_65048.1	PTHR10114
MLOC_65048.1	PS01190
MLOC_65048.1	PF01158
MLOC_37893.1	IPR019575
MLOC_37893.1	PF10589
MLOC_37893.1	PTHR11780
MLOC_37893.1	IPR011538
MLOC_37893.1	PF01512
MLOC_37893.1	IPR001949
MLOC_37893.1	PS00644
MLOC_37893.1	SM00928
MLOC_37893.1	PS00645
MLOC_37893.1	IPR019554
MLOC_37893.1	PF10531
AK373056	PTHR12621:SF1
AK373056	PTHR12621
AK373056	IPR007051
AK373056	PF04968
AK373056	PS51401
AK364144	IPR003340
AK364144	PF02362
AK364144	PS50863
AK364144	IPR010525
AK364144	PF06507
AK364395	PTHR10663:SF6
AK364395	PTHR10663
AK364395	IPR000904
AK364395	PS50190
AK364395	PF01369
AK364395	SM00222
MLOC_36540.1	PTHR21562
MLOC_36540.1	PF03283
MLOC_36540.1	IPR004963
MLOC_36540.1	PTHR21562:SF1
AK252728.1	IPR005107
AK252728.1	PF03450
AK252728.1	IPR000674
AK252728.1	PF01315
AK252728.1	IPR008274
AK252728.1	PF02738
AK252728.1	IPR001041
AK252728.1	PF00111
AK252728.1	IPR002888
AK252728.1	PF01799
AK252728.1	IPR002346
AK252728.1	PF00941
MLOC_7274.1	IPR017442
MLOC_7274.1	PF00069
MLOC_62725.1	IPR022017
MLOC_62725.1	PF12204
MLOC_60780.1	IPR005578
MLOC_60780.1	PF03878
AK365689	PTHR22763
AK365689	IPR018957
AK365689	PF00097
AK365689	IPR001841
AK365689	PS50089
AK365689	SM00184
AK365238	IPR017970
AK365238	PS00027
AK365238	IPR001356
AK365238	PF00046
AK365238	PTHR24326:SF218
AK365238	IPR000047
AK365238	PR00031
AK365238	PTHR24326
AK365238	IPR003106
AK365238	PF02183
AK365238	SM00340
AK365238	PS50071
AK365238	SM00389
AK372775	PTHR12725:SF5
AK372775	IPR005833
AK372775	PR00413
AK372775	IPR005834
AK372775	PF00702
AK372775	PTHR12725
MLOC_56456.1	IPR004140
MLOC_56456.1	PF03081
MLOC_56456.1	PTHR12542:SF7
MLOC_56456.1	PTHR12542
AK372202|AK373958	IPR005202
AK372202|AK373958	PF03514
AK372202|AK373958	PS50985
AK375881	IPR001214
AK375881	PS50280
AK375881	PF00856
AK375881	IPR007728
AK375881	PF05033
AK375881	SM00317
AK375881	IPR018848
AK375881	PF10440
AK375881	PTHR22884:SF23
AK375881	PS50867
AK375881	PTHR22884
MLOC_52084.2	IPR001245
MLOC_52084.2	PF07714
MLOC_75646.1	PTHR22924:SF4
MLOC_75646.1	IPR000971
MLOC_75646.1	PS01033
MLOC_75646.1	IPR001032
MLOC_75646.1	PR00188
MLOC_75646.1	PF00042
MLOC_75646.1	IPR019824
MLOC_75646.1	PS00208
MLOC_75646.1	PTHR22924
AK249816.1	IPR000608
AK249816.1	PF00179
AK251719.1	IPR006615
AK251719.1	PF06337
AK251719.1	IPR001394
AK251719.1	PF00443
MLOC_80753.1	IPR003613
MLOC_80753.1	PF04564
MLOC_53016.1	PTHR10233:SF7
MLOC_53016.1	IPR000649
MLOC_53016.1	PTHR10233
MLOC_53016.1	IPR007612
MLOC_53016.1	PF04525
MLOC_66574.1	IPR002213
MLOC_66574.1	PF00201
AK365288	PTHR10026:SF13
AK365288	IPR013763
AK365288	SM00385
AK365288	IPR006671
AK365288	PF00134
AK365288	IPR015429
AK365288	PTHR10026
MLOC_60712.1	PF06915
AK359760	IPR001283
AK359760	PR00837
AK359760	IPR014044
AK359760	PF00188
AK359760	PTHR10334
AK359760	SM00198
AK359760	PTHR10334:SF7
AK355813	IPR017887
AK355813	PS51369
AK355813	IPR005333
AK355813	PF03634
AK355813	PTHR11584
AK355813	PTHR11584:SF275
AK361065	IPR003480
AK361065	PF02458
AK249545.1	IPR000182
AK249545.1	PF00583
AK363493	IPR007133
AK363493	PTHR23188
AK363493	PF03985
AK363493	PTHR23188:SF3
AK371259	PTHR22835
AK371259	IPR001087
AK371259	PF00657
AK371259	PTHR22835:SF39
AK370779	PTHR24298:SF44
AK370779	IPR017972
AK370779	PS00086
AK370779	IPR001128
AK370779	PR00385
AK370779	IPR002401
AK370779	PR00463
AK370779	PF00067
AK370779	PTHR24298
MLOC_45161.2	IPR005178
MLOC_45161.2	PF03619
AK366640	PTHR11260:SF16
AK366640	IPR017933
AK366640	PS50405
AK366640	PTHR11260
AK366640	IPR004045
AK366640	PF02798
AK366640	IPR004046
AK366640	PF00043
AK366640	PS50404
MLOC_81370.1	IPR001564
MLOC_81370.1	PTHR11349
MLOC_81370.1	PF00334
MLOC_81370.1	SM00562
MLOC_81370.1	IPR023005
MLOC_81370.1	PS00469
MLOC_81370.1	PR01243
AK369485	PTHR13301:SF23
AK369485	IPR005150
AK369485	PF03552
AK369485	PTHR13301
MLOC_13613.1	PTHR11011
MLOC_13613.1	PTHR11011:SF1
MLOC_13613.1	IPR004262
MLOC_13613.1	PF03015
MLOC_13613.1	IPR013120
MLOC_13613.1	PF07993
AK363288	IPR006045
AK363288	SM00835
AK363288	PF00190
AK363288	IPR006044
AK363288	PR00439
MLOC_10435.2	IPR001214
MLOC_10435.2	PF00856
MLOC_10435.2	IPR003169
MLOC_10435.2	PF02213
MLOC_34526.1	IPR016160
MLOC_34526.1	PS00070
MLOC_34526.1	PTHR11699:SF46
MLOC_34526.1	PS00687
MLOC_34526.1	PTHR11699
MLOC_34526.1	IPR015590
MLOC_34526.1	PF00171
MLOC_59582.1	IPR001480
MLOC_59582.1	PS50927
MLOC_59582.1	PTHR24420
MLOC_59582.1	IPR008271
MLOC_59582.1	PS00108
MLOC_59582.1	PF01453
MLOC_59582.1	IPR003609
MLOC_59582.1	PS50948
MLOC_59582.1	IPR013227
MLOC_59582.1	PF08276
MLOC_59582.1	IPR000719
MLOC_59582.1	PS50011
MLOC_59582.1	IPR017441
MLOC_59582.1	PS00107
MLOC_59582.1	IPR000858
MLOC_59582.1	PF00954
MLOC_59582.1	SM00473
MLOC_59582.1	PTHR24420:SF432
MLOC_59582.1	SM00108
MLOC_59582.1	IPR017442
MLOC_59582.1	PF00069
MLOC_53317.2	IPR022673
MLOC_53317.2	PF03727
MLOC_53317.2	IPR001312
MLOC_53317.2	PR00475
MLOC_53317.2	IPR022672
MLOC_53317.2	PF00349
MLOC_53317.2	IPR019807
MLOC_53317.2	PS00378
MLOC_53317.2	PTHR19443
MLOC_31142.2	IPR010530
MLOC_31142.2	PF06522
AK373079	IPR002198
AK373079	PR00080
AK373079	PF00106
AK373079	IPR002347
AK373079	PR00081
AK373079	PTHR24322
AK250898.1	IPR007053
AK250898.1	PF04970
AK252300.1|AK363796	PTHR11668:SF136
AK252300.1|AK363796	IPR006186
AK252300.1|AK363796	PS00125
AK252300.1|AK363796	PTHR11668
AK252300.1|AK363796	PR00114
AK252300.1|AK363796	IPR004843
AK252300.1|AK363796	PF00149
AK252300.1|AK363796	SM00156
MLOC_3582.1	IPR001251
MLOC_3582.1	PF00650
AK249526.1	IPR001544
AK249526.1	PF01063
AK354554	IPR004864
AK354554	PF03168
AK370424	IPR010259
AK370424	PF05922
AK370424	IPR000209
AK370424	PF00082
AK370424	IPR023828
AK370424	PS00138
AK370424	IPR003137
AK370424	PF02225
AK370424	IPR015500
AK370424	PTHR10795
AK370424	PTHR10795:SF17
AK370424	PR00723
AK370424	PS51257
AK371804	PTHR23426
AK371804	PTHR23426:SF1
AK371804	IPR001041
AK371804	PS51085
AK371804	PF00111
AK371804	IPR018298
AK371804	PS00814
AK371804	IPR001055
AK371804	PR00355
MLOC_64318.1	IPR017941
MLOC_64318.1	PS51296
MLOC_64318.1	PTHR21496
AK357981	IPR000679
AK357981	PS50114
AK357981	PF00320
AK357981	SM00401
AK357981	PTHR10071
AK357981	PTHR10071:SF113
AK357981	PS00344
AK365246	IPR003612
AK365246	SM00499
AK365246	PF00234
AK376664	PTHR15486
AK376664	IPR002123
AK376664	PF01553
AK376664	SM00563
AK364417	IPR002110
AK364417	PS50088
AK364417	SM00248
AK364417	IPR001841
AK364417	SM00184
AK364417	PTHR24158:SF306
AK364417	PF00023
AK364417	PS50089
AK364417	PTHR24158
AK364417	IPR020683
AK364417	PS50297
MLOC_6783.4	IPR001563
MLOC_6783.4	PF00450
AK365368	IPR003338
AK365368	PF02359
AK365368	PTHR23078
AK365368	IPR004201
AK365368	PF02933
AK365368	IPR003593
AK365368	SM00382
AK365368	IPR003959
AK365368	PF00004
AK365368	IPR003960
AK365368	PS00674
MLOC_5429.1	IPR004142
MLOC_5429.1	PTHR11034
MLOC_5429.1	IPR015511
MLOC_5429.1	PTHR11034:SF3
MLOC_5429.1	PF03096
MLOC_65161.2	IPR003959
MLOC_65161.2	PF00004
MLOC_56183.1	IPR018249
MLOC_56183.1	PS50222
